Barcode ID;Sample Name;Mapped Reads;Valid Reads;Targets Detected;Chip ;Vitro;Vivo;Time point
IonXpress_001;1_1_NS;10199589;94.37%;66.94%;1;NS;NI;0
IonXpress_007;1_4_NS;6697854;99.22%;45.11%;2;NS;NI;0
IonXpress_009;1_5_NS;12572039;98.25%;65.03%;2;NS;NI;0
IonXpress_011;1_6_NS;12370945;94.08%;61.87%;1;NS;NI;0
IonXpress_013;8_3_NS;11622980;99.57%;47.31%;1;NS;I;4
IonXpress_017;8_4_NS;11688892;99.53%;47.80%;2;NS;I;4
IonXpress_021;8_5_NS;16598514;99.64%;48.72%;2;NS;I;4
IonXpress_025;8_6_NS;9700931;99.61%;46.51%;1;NS;I;4
IonXpress_002;1_1_T;12999213;99.21%;47.34%;2;T;NI;0
IonXpress_008;1_4_T;12572907;99.59%;47.07%;1;T;NI;0
IonXpress_010;1_5_T;19970891;99.18%;50.31%;1;T;NI;0
IonXpress_012;1_6_T;11339988;99.26%;47.00%;2;T;NI;0
IonXpress_014;8_3_T;9634374;99.62%;44.95%;1;T;I;4
IonXpress_018;8_4_T;5886804;99.67%;42.23%;1;T;I;4
IonXpress_022;8_5_T;11212515;99.54%;46.24%;2;T;I;4
IonXpress_026;8_6_T;9835783;99.49%;45.59%;2;T;I;4
IonXpress_003;1_2_NS;8676920;86.70%;65.45%;8;NS;NI;0
IonXpress_004;1_2_T;8832381;99.33%;45.58%;8;T;NI;0
IonXpress_017;4_2_NS;13330487;99.63%;48.11%;3;NS;I;1
IonXpress_018;4_2_T;8312453;99.58%;45.06%;8;T;I;1
IonXpress_021;4_3_NS;7746051;99.47%;46.20%;3;NS;I;1
IonXpress_022;4_3_T;13883435;99.43%;47.87%;3;T;I;1
IonXpress_025;4_4_NS;9787274;94.84%;53.27%;3;NS;I;1
IonXpress_026;4_4_T;11909476;99.46%;46.97%;3;T;I;1
IonXpress_005;8_1_NS;9464064;99.64%;46.73%;4;NS;I;4
IonXpress_006;8_1_T;8189935;99.52%;44.80%;4;T;I;4
IonXpress_015;6_1_NS;14680184;99.37%;48.96%;4;NS;I;2
IonXpress_016;6_1_T;14455340;99.52%;47.44%;4;T;I;2
IonXpress_019;6_2_NS;9939946;99.53%;46.88%;4;NS;I;2
IonXpress_020;6_2_T;17453418;99.58%;48.42%;4;T;I;2
IonXpress_023;6_3_NS;10248428;99.48%;47.71%;4;NS;I;2
IonXpress_024;6_3_T;12039718;99.50%;46.86%;4;T;I;2
IonXpress_002;4_6_T;18721077;99.47%;49.61%;5;T;I;1
IonXpress_008;10_1_T;11829142;99.64%;46.61%;8;T;I;7
IonXpress_014;4_1_T;15883977;99.55%;48.50%;5;T;I;1
IonXpress_015;10_3_NS;7671649;99.33%;45.88%;5;NS;I;7
IonXpress_028;6_4_T;10080029;99.54%;46.05%;5;T;I;2
IonXpress_029;4_5_NS;14428214;99.41%;48.98%;5;NS;I;1
IonXpress_030;4_5_T;9385408;99.18%;46.97%;5;T;I;1
IonXpress_031;6_5_NS;11329582;99.44%;47.86%;5;NS;I;2
IonXpress_001;4_6_NS;7875234;99.42%;46.65%;6;NS;I;1
IonXpress_003;6_6_NS;10744433;99.47%;51.43%;6;NS;I;2
IonXpress_005;1_3_NS;9837026;97.43%;65.63%;6;NS;NI;0
IonXpress_007;10_1_NS;8792827;99.77%;45.67%;6;NS;I;7
IonXpress_009;8_2_NS;7828213;99.60%;45.62%;6;NS;I;4
IonXpress_010;8_2_T;10541845;99.51%;46.06%;6;T;I;4
IonXpress_027;6_4_NS;12475557;99.57%;48.02%;6;NS;I;2
IonXpress_032;6_5_T;11822390;99.68%;45.85%;6;T;I;2
IonXpress_004;6_6_T;12462824;99.35%;47.08%;7;T;I;2
IonXpress_006;1_3_T;8621271;99.41%;45.94%;7;T;NI;0
IonXpress_011;10_2_NS;6037322;99.14%;58.36%;7;NS;I;7
IonXpress_012;10_2_T;6335665;99.47%;43.56%;7;T;I;7
IonXpress_013;4_1_NS;41969565;99.43%;54.74%;7;NS;I;1
IonXpress_016;10_3_T;6407155;99.53%;43.46%;7;T;I;7
IonXpress_019;10_4_NS;5665171;99.47%;44.38%;7;NS;I;7
IonXpress_024;10_5_T;7007401;99.63%;44.90%;7;T;I;7
IonXpress_020;10_4_T;11657491;99.56%;46.91%;8;T;I;7
IonXpress_023;10_5_NS;15323379;99.56%;49.32%;8;NS;I;7
IonXpress_027;10_6_NS;13357678;99.69%;47.32%;8;NS;I;7
IonXpress_028;10_6_T;10571099;99.73%;44.78%;8;T;I;7
